ORDER_KEY,ORDER_STATUS,UNITS,DISCNT_VALUE,COST_FIXED,COST_VARIABLE,REVENUE,TIME_BILL_DT,TIME_PAID_DT,PROD_ITEM_KEY,CUST_NUMBER,CUST_NAME,CUST_BIRTH_DT,CUST_CRDT_RATE,CUST_GENDER,CUST_SEGMENT,CUST_MARITAL_STATUS,CUST_TYPE,ADDR_KEY,ADDRESS1,ADDRESS2,POSTAL_CODE,CITY,STATE_PROV,REGION,COUNTRY_CODE,COUNTRY_NAME,AREA,CHANNEL_NAME,PROD_BRAND,PROD_LOB,PROD_TYPE,PRODUCT,PROD_ITEM_DSC
3007716,9-On Hold,10,2.53,13.56,45.36,135.18,5-Aug-12,16-Sep-12,943,7128,Justin Posey,4-Oct-90,690,M,Active Singles,Married,TYPE 2,8609,6,De Belier Rue,ML101628,Bamako,,EMEA,MLI,Mali,Africa,Online,FunPod,Games,Portable,PocketFun ES,KeyMax PCI Adaptor E905 Silver
491130,1-Booked,9,9.29,109.72,251.8,218.72,22-Jan-12,23-Feb-12,934,9079,Brian Little,16-Jan-56,690,M,Active Singles,Divorced,TYPE 2,14794,27916,Tarrytown Rd,UR11582,Montevideo,,AMERICAS,URY,Uruguay,South America,Store,FunPod,Games,Fixed,Game Station,KeyMax 10Gb Memory P300Blue
1486529,5-Paid,10,11.74,99.06,634.37,625.03,26-Jun-11,31-Jul-11,728,8653,Yurleis Ospino,26-Jun-83,687,M,Baby Boomers,Divorced,TYPE 4,385,,,US10914,Augusta,Virginia,AMERICAS,USA,United States,North America,Online,FunPod,Games,Fixed,HomeCoach 2000,CompCell DesignJet Game X40 White
285243,4-Billed,9,5.61,57.75,24.31,184.86,13-Feb-11,17-Mar-11,1304,3295,Kris Peter,3-Dec-54,712,M,Baby Boomers,Divorced,TYPE 1,14529,403,Conn Valley Rd,PA101616,Panama City,,AMERICAS,PAN,Panama,Central,Reseller,BizTech,Electronics,Audio,MicroPod 60Gb,Micropod 60Gb White
550054,5-Paid,13,91.45,444.13,2252.38,2291.71,17-Jan-12,17-Feb-12,1105,669,Paul Stockman,20-Mar-64,600,M,Urban based,Widow,TYPE 5,11873,68,Camden Rd,JP11589,Nagoya,,APAC,JPN,Japan,East,Reseller,FunPod,Digital,Camera,7 Megapixel Digital Camera,DigiTech Camera SLR Alpha C600Orange
313961,3-Shipped,8,1.24,5.23,25.26,33.04,14-Feb-11,4-Apr-11,778,8695,Francesca Grilli,17-Jun-62,714,M,Active Singles,Divorced,TYPE 1,10477,79819,Palmetto Ave,RU151494,Kaliningrad,,APAC,RUS,Russia,North,Catalog,HomeView,Services,Maintenance,Maintenance,DigiTech Sinewave Battery IT24White
2698485,9-On Hold,10,24.79,85.24,324.69,879.7,23-May-12,7-Jul-12,1530,8466,Nick Levinsky,2-Mar-75,682,M,Others,Widow,TYPE 3,584,,,US260959,Boise,Idaho,AMERICAS,USA,United States,North America,Store,BizTech,Communication,Phones,CompCell RX3,PhoneCell GPS Handheld  3.7 inch M630 Black
2828486,5-Paid,12,9.67,42.58,228.37,257.25,29-Aug-12,7-Oct-12,1305,339,Jenny Rodriguez,29-Dec-61,617,M,Others,Divorced,TYPE 3,8857,16949,Harristown Rd,RU11481,Lipetsk,,APAC,RUS,Russia,North,Store,BizTech,Electronics,Audio,MicroPod 60Gb,Micropod 60Gb Silver
3515430,3-Shipped,12,0,264.42,819.55,1195.88,23-Sep-13,12-Nov-13,1291,236,Jesus Reyes,26-Jan-78,615,F,Rural based,Married,TYPE 2,2097,81,YORK ST,2000,Sydney,NSW,APAC,AUS,Australia,South,Store,BizTech,Electronics,Audio,SoundX Nano 4Gb,DigiTech Ultrabook VX30White
719329,2-Fulfilled,12,0,126.14,384.17,1301.69,20-Mar-12,19-Apr-12,1111,5764,Carolina Vega,7-Jan-62,609,M,Others,Divorced,TYPE 1,5122,16,Talmadge Rd,BR136660,Recife,,AMERICAS,BRA,Brazil,South America,Store,FunPod,Digital,Camera,MPEG4 Camcorder,FinFlex Camera D3200 Black
4134122,4-Billed,13,36.99,1577.68,116.03,985.03,7-Dec-12,12-Jan-13,1485,927,Cosmo Westman,6-Aug-73,650,M,Urban based,Married,TYPE 3,11154,2452,Bango Rd,IR151513,Dublin,,EMEA,IRL,Ireland,Northern,Reseller,BizTech,Communication,Smart Phones,Touch-Screen T5,PhoneCell Touch Screen 6-LINE SCREEN M21 Grey
600652,6-Cancelled,9,29.57,145.46,589.9,750.55,6-Feb-12,19-Mar-12,1547,291,Suzette Trent,2-Mar-77,695,M,Seniors,Married,TYPE 3,6759,5496,Ne Columbia Blvd,DE101695,Hamburg,,EMEA,DEU,Germany,Europe,Store,BizTech,Communication,Phones,CompCell RX3,PhoneCell GPS Handheld  3.5 inch M610 Silver
813199,4-Billed,8,24.71,1647.37,100.43,751.66,22-Jan-13,13-Mar-13,1488,6812,Edna Wenceslau,23-Mar-67,649,M,Active Singles,Widow,TYPE 3,12059,47,Hall St,CM11526,Yaound,,EMEA,CMR,Cameroon,Africa,Store,BizTech,Communication,Smart Phones,Touch-Screen T5,PhoneCell Touch Screen Expert M400 Grey
322697,4-Billed,4,1.96,192.01,8.46,64.68,9-Mar-11,23-Apr-11,1266,1976,Natalie Siebers,18-Jul-61,837,M,Urban based,Divorced,TYPE 4,12826,53247,Montgomery St #36,KA11649,Astana,,EMEA,KAZ,Kazakhstan,Eastern,Store,HomeView,Services,Install,Install,DigiTech Carrying Case E20Silver
4064723,9-On Hold,8,1.19,9.78,31.47,97.62,29-Nov-12,11-Jan-13,779,1258,Sasha Odiamar,10-Feb-57,607,M,Urban based,Married,TYPE 3,10745,5289,Ramblewood Dr,NI11538,Managua,,AMERICAS,NIC,Nicaragua,Central,Store,HomeView,Services,Install,Install,DigiTech Camera Adapter Z612 White
789722,9-On Hold,8,0,277.87,926.7,2513.45,29-Jan-13,1-Mar-13,1241,1352,Jenna Slack,24-Apr-76,698,M,Students,Married,TYPE 4,9797,1,Rock Island Rd #8,AR11700,La Plata,,AMERICAS,ARG,Argentina,South America,Store,FunPod,Games,Portable,PocketFun ES,PocketFun1/3'' 8.5mm M380 White
1039408,4-Billed,10,0,12.08,8.73,76.22,14-Apr-11,14-May-11,828,2240,Melina Morosoly,19-Aug-71,603,M,Urban based,Divorced,TYPE 4,6801,21058,Massillon Rd,HN11588,Tegucigalpa,,AMERICAS,HND,Honduras,Central,Store,FunPod,Digital,Camera,7 Megapixel Digital Camera,DigiTech Easyshare 7.1 Grey
596247,5-Paid,9,23.94,72.74,368.58,375.43,3-Feb-12,21-Mar-12,1470,8390,Brandon Howard,2-Dec-76,649,M,Seniors,Divorced,TYPE 3,1527,,,MA176602,Rabat,,EMEA,MAR,Morocco,North Africa,Store,FunPod,Digital,Camera,MPEG4 Camcorder,PhoneCell Touch Screen without camera E100 Black
2767479,2-Fulfilled,10,0,367.44,372.47,1895.98,24-May-12,29-Jun-12,1076,432,Maureen Robbinette,13-Mar-89,695,F,Urban based,Single,TYPE 3,1206,6,REDCROSS WAY,SE1 9,London,EN,EMEA,GBR,United Kingdom,Northern,Online,FunPod,Digital,Camera,7 Megapixel Digital Camera,DigiTech Camera SLR Alpha X142 Black
770592,5-Paid,9,1.41,7.53,36.1,37.52,20-Mar-12,1-May-12,812,7995,Alma Mendoza,3-Nov-56,600,M,Active Singles,Divorced,TYPE 2,14913,28220,Park Avenue W,PA101616,Panama City,,AMERICAS,PAN,Panama,Central,Catalog,FunPod,Games,Portable,PocketFun ES,DigiTech Mousepad Bundle 34Grey
2502742,9-On Hold,13,26.29,111.06,484.11,1401.83,12-Dec-11,27-Jan-12,1059,7493,Scottish Ambulance,21-Mar-68,731,M,Students,Divorced,TYPE 5,14076,136,2nd Ave N,JA101670,Kingston,,AMERICAS,JAM,Jamaica,Central,Catalog,FunPod,Digital,Camera,7 Megapixel Digital Camera,7 Megapixel Digital Camera T345Silver Grey
2971250,9-On Hold,12,20.83,195.45,818.08,2218.72,13-Jul-12,1-Sep-12,1056,2796,Dainius Kazlauskas,7-Oct-68,630,M,Active Singles,Divorced,TYPE 2,14615,2,New Brooklyn Rd,PE101541,Lima,,AMERICAS,PER,Peru,South America,Online,FunPod,Digital,Camera,MPEG4 Camcorder,FinePix SLR ST138 Silver Grey
4157471,2-Fulfilled,8,17.03,55.86,205.73,697.57,15-Nov-12,17-Dec-12,1477,2586,Megan Cowan,29-Jul-64,707,M,Rural based,Divorced,TYPE 3,9695,398,Fort Campbell Blvd #923,RU11481,Lipetsk,,APAC,RUS,Russia,North,Online,BizTech,Communication,Smart Phones,Touch-Screen T5,PhoneCell Touch Screen Unlocked M300 Black
2721725,2-Fulfilled,10,31.45,108.32,329.57,1117.81,17-Jun-12,21-Jul-12,1470,517,Rebecca Mcdonald,1-Sep-89,645,M,Students,Single,TYPE 3,14683,8650,S Valley View Bld #6941,SL11581,San Salvador,,AMERICAS,SLV,El Salvador,Central,Store,FunPod,Digital,Camera,MPEG4 Camcorder,PhoneCell Touch Screen without camera E100 Black
1022007,1-Booked,5,14.74,207.26,650.77,523.22,1-Apr-11,5-May-11,1139,3750,Jorge Roques,18-Jan-79,724,M,Students,Widow,TYPE 4,5125,6,Monte Ave,BR161660,Recife,,AMERICAS,BRA,Brazil,South America,Store,FunPod,Digital,Camera,MPEG4 Camcorder,FinFlex Camera D3200 Orange
1350459,5-Paid,10,20,168.83,1104.13,1065.57,12-Jun-11,22-Jul-11,1118,479,Gabrielle Lillis,23-Nov-73,645,M,Rural based,Married,TYPE 3,8068,15,Campville Rd #191,UR11582,Montevideo,,AMERICAS,URY,Uruguay,South America,Store,FunPod,Digital,Camera,MPEG4 Camcorder,FinFlex Digital Camera D3107 Grey
588066,3-Shipped,9,1.86,9.14,28.7,45.56,10-Feb-12,23-Mar-12,806,2101,Amos Fleisher,24-May-57,647,M,Active Singles,Divorced,TYPE 3,10548,73778,Battery St,FI11405,Helsinki,,EMEA,FIN,Finland,Northern,Store,HomeView,Services,Maintenance,Maintenance,DigiTech USB Keyboard X300 Black
779068,4-Billed,19,0,354.48,33.84,232.03,4-Jan-13,12-Feb-13,800,256,Decima Schenk,4-Jul-56,745,F,Rural based,Married,TYPE 1,15128,30338,S Dunworth St,IN11434,Vijayawada,,APAC,IND,India,West,Store,HomeView,Services,Maintenance,Maintenance,Micropod Lens Cap E30White
3790785,1-Booked,12,83.24,266.75,20055.8,3223.08,19-Sep-12,30-Oct-12,1208,7864,Emiel Lensen,19-Dec-80,624,M,Baby Boomers,Single,TYPE 1,15076,71089,Queens Blvd,IN11439,Ambattur,,APAC,IND,India,West,Store,FunPod,Games,Portable,PocketFun ES,FinFlex Mini Speaker1'' 25mm M600 Grey
2744133,5-Paid,10,60.09,413.4,2096.37,2133.1,11-May-12,21-Jun-12,1112,7344,Fran Tew,21-Dec-61,602,M,Active Singles,Divorced,TYPE 1,12241,79620,Timber Dr,MN101545,Ulaanbaatar,,APAC,MNG,Mongolia,North,Reseller,FunPod,Digital,Camera,MPEG4 Camcorder,FinFlex SLR EOS P347 Silver
276719,4-Billed,4,0.53,24.97,1.93,16.58,26-Feb-11,31-Mar-11,882,4748,Francisco Rabadan,2-Oct-71,607,M,Urban based,Widow,TYPE 4,13048,947,W Harrison St #640,NG11599,Abuja,,EMEA,NGA,Nigeria,Africa,Reseller,FunPod,Games,Portable,PocketFun ES,DigiTech Optical Wheel XBox M33 Silver
2366371,5-Paid,4,0.49,2.73,17.49,17.22,16-Nov-11,2-Jan-12,783,7300,Adriana Mireles,18-Jan-88,823,M,Urban based,Divorced,TYPE 5,557,,,US260868,Madison,Montana,AMERICAS,USA,United States,North America,Store,HomeView,Services,Maintenance,Maintenance,DigiTech Lithium Battery L23 White
3793148,5-Paid,10,0,243.55,1235.4,1256.71,17-Oct-12,16-Nov-12,1522,851,Kurt Dooley,23-Apr-77,615,M,Rural based,Married,TYPE 4,5150,5,Carpenter Ave,CH11637,Bern,,EMEA,CHE,Switzerland,Europe,Store,BizTech,Communication,Phones,V5x Flip Phone,PhoneCell PDA Wifi4.7-inch L290 Black
2960393,9-On Hold,12,24.5,114.9,452.43,1304.17,13-Jul-12,26-Aug-12,1542,6215,Nicolò Zarotti,11-Jan-58,630,M,Seniors,Married,TYPE 3,6073,700,Wilmson Rd,LB126597,Beirut,,EMEA,LBN,Lebanon,Middle East,Reseller,BizTech,Communication,Smart Phones,KeyMax S-Phone,PhoneCell SmartPhone3.7 inches M340 Silver
909354,9-On Hold,9,29.48,46.75,220.71,626.17,25-Feb-13,30-Mar-13,685,1599,Claus Kelmnielsen,20-Jul-62,670,M,Urban based,Divorced,TYPE 1,14063,56232,Hohman Ave,CO11655,Bogot,,AMERICAS,COL,Colombia,Central,Online,FunPod,Games,Fixed,HomeCoach 2000,CompCell DraftPro Gamer T40Grey
698694,2-Fulfilled,9,27.37,132.75,126.83,661.58,5-Mar-12,18-Apr-12,851,9279,Alexandra Black,19-Jul-55,615,M,Active Singles,Married,TYPE 1,9427,700,Wilmson Rd,UK176424,Kiev,,EMEA,UKR,Ukraine,Eastern,Store,FunPod,Games,Fixed,Game Station,SoundX 14 inch White
649025,6-Cancelled,9,28.93,114.66,465.1,591.58,29-Feb-12,13-Apr-12,1504,3202,Alonzo Arellano,18-Sep-59,659,M,Active Singles,Divorced,TYPE 1,14866,45,Mountain View Ave,PA101616,Panama City,,AMERICAS,PAN,Panama,Central,Reseller,BizTech,Communication,Smart Phones,Touch-Screen T5,PhoneCell Touch Screen 160x160 M26 Pink
3088230,4-Billed,21,6.38,446.99,42.67,337.61,21-Apr-13,23-May-13,928,6575,Ashleigh Milne,5-Mar-59,608,M,Active Singles,Divorced,TYPE 1,14795,705,Stanwix St,UR101582,Montevideo,,AMERICAS,URY,Uruguay,South America,Online,FunPod,Games,Fixed,Game Station,KeyMax 1GB Memory I200Silver
2599587,3-Shipped,12,34.27,160.81,597.71,912.77,23-Apr-12,12-Jun-12,1495,1906,Will Wolf,9-Apr-82,718,M,Others,Married,TYPE 2,12541,199,Maple Ave,MD101605,Antananarivo,,EMEA,MDG,Madagascar,Africa,Online,BizTech,Communication,Smart Phones,Touch-Screen T5,PhoneCell Touch Screen 6-LINE SCREEN M21 White
4174606,9-On Hold,13,14.75,52.49,167.56,523.27,25-Nov-12,28-Dec-12,855,5566,Brandon Stringer,24-Jan-70,646,M,Baby Boomers,Married,TYPE 2,6008,17720,Beach Blvd,JP101618,Tokyo,,APAC,JPN,Japan,East,Online,HomeView,Services,Maintenance,Maintenance,DigiTech Multimedia Speakers White
2509723,1-Booked,10,31.45,492.35,1318.28,1117.81,3-Apr-12,12-May-12,1047,6132,Eathan Knutson,31-May-68,748,M,Active Singles,Divorced,TYPE 1,12749,8275,Calle De Industrias,TU101472,Funafuti,,APAC,TUV,Tuvalu,East,Store,FunPod,Digital,Camera,7 Megapixel Digital Camera,7 Megapixel Digital Camera T345Black
1133348,1-Booked,12,0,241.07,741.24,608.45,30-Apr-11,8-Jun-11,718,349,Marvel Lickey,25-Jun-94,665,M,Seniors,Single,TYPE 3,8977,1456,Hill Rd,HR101415,Zagreb,,EMEA,HRV,Croatia,Europe,Reseller,BizTech,Communication,Phones,CompCell RX3,CompCell Color Ink Jet X500 Black
2590048,1-Booked,10,0,168.6,386.95,336.1,15-Apr-12,1-Jun-12,680,1045,Dom White,19-Nov-60,664,M,Baby Boomers,Married,TYPE 5,7538,4244,Lucas Creek Rd,RU11492,Voronezh,,APAC,RUS,Russia,North,Online,FunPod,Games,Fixed,HomeCoach 2000,CompCell Document Gamer S300Grey
243132,2-Fulfilled,12,102.15,101.41,389.57,1279.75,18-Feb-11,25-Mar-11,718,384,Celesta Rohrback,10-Jun-56,681,F,Active Singles,Divorced,TYPE 1,13681,847,Norristown Rd,NI11538,Managua,,AMERICAS,NIC,Nicaragua,Central,Store,BizTech,Communication,Phones,CompCell RX3,CompCell Color Ink Jet X500 Black
372372,4-Billed,9,174.81,727.44,276.86,2327.84,23-Mar-11,22-Apr-11,1153,3943,Ganenko Madridista,4-Dec-87,734,M,Students,Married,TYPE 5,14756,80,Monroe St,PE101541,Lima,,AMERICAS,PER,Peru,South America,Store,BizTech,Electronics,Audio,MicroPod 60Gb,FinFlex HCL MV 1/2'' 3mm X300 Black
1396170,5-Paid,10,0,319.47,1929.5,2016.29,7-Jun-11,20-Jul-11,1096,7197,Supanut Namwong,21-Apr-67,707,M,Students,Divorced,TYPE 4,554,,,US260865,Dallas,Missouri,AMERICAS,USA,United States,North America,Store,FunPod,Digital,Camera,7 Megapixel Digital Camera,DigiTech Camera SLR Alpha X145 Pink
727418,3-Shipped,9,31.41,185,625.01,954.57,28-Mar-12,2-May-12,1123,4759,Martin Fernandez,22-Jul-59,807,M,Urban based,Married,TYPE 4,1599,,,SO101596,Mogadishu,,EMEA,SOM,Somalia,Africa,Store,FunPod,Digital,Camera,MPEG4 Camcorder,FinFlex Camera D3200 Silver Grey
2580038,6-Cancelled,12,0,76.74,293.46,382.46,30-Apr-12,3-Jun-12,939,5140,Ecem Balta,1-Mar-71,820,M,Baby Boomers,Divorced,TYPE 3,14370,60,S 4th St,ME11690,Merida,,AMERICAS,MEX,Mexico,Central,Reseller,FunPod,Games,Portable,PocketFun ES,KeyMax USB PCI Adaptor E901 Black
3197823,5-Paid,9,6.29,49.05,190.93,221.85,16-May-13,18-Jun-13,1305,9147,Rachel Lattimer,25-Aug-59,691,M,Urban based,Divorced,TYPE 5,449,,,US10943,Montgomery,Ohio,AMERICAS,USA,United States,North America,Reseller,BizTech,Electronics,Audio,MicroPod 60Gb,Micropod 60Gb Silver
1829711,5-Paid,6,1.6,6.03,33.03,38.08,12-Aug-11,21-Sep-11,766,2574,Josue Garcia,12-Jan-73,812,M,Rural based,Married,TYPE 2,6544,3492,88th St,HK151509,Sha Tin,,APAC,HKG,Hong Kong,South,Catalog,HomeView,Services,Install,Install,DigiTech Battery Charger - X5 Black
1271915,4-Billed,11,0,4362.75,444.87,3233.1,22-May-11,7-Jul-11,1177,8819,John Willis,16-Aug-64,635,M,Students,Married,TYPE 4,14808,25,Sw End Blvd #609,HN11588,Tegucigalpa,,AMERICAS,HND,Honduras,Central,Store,BizTech,Electronics,Audio,MicroPod 60Gb,FinFlex HCL MV 1/2'' 3mm X300 White
1579268,3-Shipped,13,46.92,248.69,2040.52,2499.25,24-Aug-11,5-Oct-11,1171,9437,Jackson Buckner,29-Jan-85,685,M,Urban based,Widow,TYPE 2,11015,3883,N Central Ave,BE11531,Porto-Novo,,EMEA,BEN,Benin,Africa,Store,HomeView,TV,LCD,LCD HD Television,FinFlex Moviemaker2/3'' 17mm M103 White
2882029,9-On Hold,12,0.89,6.36,21.29,63.48,25-Aug-12,27-Sep-12,781,9057,Klemash Berry,14-Aug-89,731,M,Baby Boomers,Divorced,TYPE 2,7146,891,Union Pacific Ave #8463,CA206602,Montreal,,AMERICAS,CAN,Canada,North America,Store,BizTech,Electronics,Accessories,MP3 Speakers System,DigiTech KeyMax Speaker 34 White
2121461,3-Shipped,9,112.66,238.83,1959.16,2400.17,17-Sep-11,18-Oct-11,1242,9049,Ben Milam,11-May-87,617,M,Others,Married,TYPE 3,13066,700,Factory Ave #5649,SW11414,Stockholm,,EMEA,SWE,Sweden,Northern,Online,FunPod,Games,Portable,PocketFun ES,PocketFun2/3'' 17mm M280 White
2716796,5-Paid,12,37.72,115.05,471.19,573.3,6-May-12,6-Jun-12,737,6032,Saiid Nassar,22-Feb-70,741,M,Urban based,Widow,TYPE 2,8199,75962,E Drinker St,AR101515,Rosario,,AMERICAS,ARG,Argentina,South America,Store,BizTech,Communication,Phones,CompCell RX3,CompCell DeskJet Plus Printer X450Green
2646831,5-Paid,10,0,226.05,982.85,1166.46,8-May-12,17-Jun-12,1138,2677,Lexi Nelson,12-Aug-90,738,M,Rural based,Married,TYPE 5,6892,5,Shakespeare Ave,SA176686,Riyadh,,EMEA,SAU,Saudi Arabia,Middle East,Store,FunPod,Digital,Camera,MPEG4 Camcorder,FinFlex Digital Camera D350Orange
1400706,2-Fulfilled,5,0,5.74,26.42,80.84,1-Jun-11,18-Jul-11,1266,882,Alphonso Hopkins,5-May-54,601,F,Students,Divorced,TYPE 3,2417,,,RU176696,Sankt-Peterburg,,APAC,RUS,Russia,North,Store,HomeView,Services,Install,Install,DigiTech Carrying Case E20Silver
2764219,9-On Hold,10,27.98,96.14,344.19,992.14,12-May-12,21-Jun-12,1488,4666,Logan Bykofsky,25-Nov-65,802,M,Baby Boomers,Married,TYPE 1,14059,7,Valley Blvd,JA101670,Kingston,,AMERICAS,JAM,Jamaica,Central,Online,BizTech,Communication,Smart Phones,Touch-Screen T5,PhoneCell Touch Screen Expert M400 Grey
850665,9-On Hold,19,1.94,7.4,35.32,92.19,28-Jan-13,9-Mar-13,794,8148,David Flores,2-Jul-82,623,M,Seniors,Divorced,TYPE 1,4098,,YOUNG ST,2000,Sydney,NSW,APAC,AUS,Australia,South,Catalog,HomeView,Services,Install,Install,DigiTech 60W F440 White
3252777,9-On Hold,13,0,152.53,527.21,1454.57,17-May-13,2-Jul-13,1107,4979,Dilano Schellekens,30-May-62,600,M,Active Singles,Divorced,TYPE 2,14827,5,30w W #3083,NI11538,Managua,,AMERICAS,NIC,Nicaragua,Central,Online,FunPod,Digital,Camera,7 Megapixel Digital Camera,DigiTech Camera SLR Alpha C445Orange
2675744,2-Fulfilled,10,0,436.45,1569.38,5044.15,8-May-12,14-Jun-12,1182,6994,Taylor Hall,5-Jul-59,658,M,Rural based,Married,TYPE 1,50,85,W PORTAL AVE,94127,San Francisco,California,AMERICAS,USA,United States,North America,Store,HomeView,TV,Plasma,Tungsten E Plasma TV,MaxiFun 1/3'' 8.5mm X200 White
3761686,2-Fulfilled,4,0,169.57,156.1,808.55,14-Nov-13,27-Dec-13,1534,9485,Maew Nam,14-Dec-71,612,M,Others,Married,TYPE 1,8806,891,Union Pacific Ave #8463,DE176427,Berlin,,EMEA,DEU,Germany,Europe,Online,BizTech,Communication,Phones,V5x Flip Phone,PhoneCell GPS Tracker  4.7 inch L850 Black
2113094,3-Shipped,10,24.22,136.03,889.86,858.52,18-Oct-11,5-Dec-11,1541,2276,Carla Bruster,19-Mar-65,733,M,Rural based,Divorced,TYPE 2,6113,25,Sw End Blvd #609,PO11420,Warsaw,,EMEA,POL,Poland,Europe,Online,BizTech,Communication,Smart Phones,KeyMax S-Phone,PhoneCell SmartPhone3.5 inches M320 Silver
2123986,9-On Hold,9,4.21,17.77,80.64,224.21,26-Sep-11,29-Oct-11,936,4868,Erivelton Lima,29-Nov-56,616,M,Active Singles,Married,TYPE 1,489,,,US10880,Madison,New York,AMERICAS,USA,United States,North America,Online,FunPod,Games,Fixed,Game Station,KeyMax 10Gb Memory P300Black
498289,6-Cancelled,9,37.18,174.37,707.89,899.75,12-Jan-12,27-Feb-12,1054,8337,Elevator Bar,7-Jan-75,617,M,Students,Divorced,TYPE 2,6201,66,Congress St,RU101488,Yaroslavl,,APAC,RUS,Russia,North,Store,FunPod,Digital,Camera,MPEG4 Camcorder,FinePix SLR X137 Grey
3935044,3-Shipped,12,0,229.2,871.7,1182.63,16-Sep-12,30-Oct-12,1554,2598,Alvin Gomez,30-Apr-61,602,M,Active Singles,Divorced,TYPE 1,14516,512,E Idaho St,NI101538,Managua,,AMERICAS,NIC,Nicaragua,Central,Online,BizTech,Communication,Phones,CompCell RX3,PhoneCell GPS Phone 3.7 inch M930 Silver
